time | phase | epoch | batch | work | done | ETA | loss | card@1 | zone | tile | timing
01:11:48 | 4.2 | 1/10 | 3925/3927 |   9.99% | 2,009,600/20,102,200 | 2h01m | 3.401 | — | — | — | —
01:11:48 | 4.2 | 1/10 | 3927/3927 |  10.00% | 2,010,624/20,102,200 | 2h01m | 3.346 | — | — | — | —
01:11:57 | validation | 1/10 | epoch-end |  10.00% | 2,010,220/20,102,200 | 2h02m | 3.634 |  49.61% |  39.84% |   2.85% | 1.645
01:11:57 | 4.2 | 2/10 | 1/3927 |  10.00% | 2,011,136/20,102,200 | 2h02m | 3.415 | — | — | — | —
01:12:02 | 4.2 | 2/10 | 25/3927 |  10.06% | 2,023,424/20,102,200 | 2h02m | 3.413 | — | — | — | —
01:12:07 | 4.2 | 2/10 | 50/3927 |  10.13% | 2,036,224/20,102,200 | 2h02m | 3.395 | — | — | — | —
01:12:13 | 4.2 | 2/10 | 75/3927 |  10.19% | 2,049,024/20,102,200 | 2h02m | 3.433 | — | — | — | —
01:12:18 | 4.2 | 2/10 | 100/3927 |  10.25% | 2,061,824/20,102,200 | 2h02m | 3.352 | — | — | — | —
01:12:23 | 4.2 | 2/10 | 125/3927 |  10.32% | 2,074,624/20,102,200 | 2h02m | 3.296 | — | — | — | —
01:12:28 | 4.2 | 2/10 | 150/3927 |  10.38% | 2,087,424/20,102,200 | 2h02m | 3.288 | — | — | — | —
01:12:34 | 4.2 | 2/10 | 175/3927 |  10.45% | 2,100,224/20,102,200 | 2h02m | 3.317 | — | — | — | —
01:12:39 | 4.2 | 2/10 | 200/3927 |  10.51% | 2,113,024/20,102,200 | 2h02m | 3.331 | — | — | — | —
01:12:44 | 4.2 | 2/10 | 225/3927 |  10.57% | 2,125,824/20,102,200 | 2h02m | 3.407 | — | — | — | —
01:12:50 | 4.2 | 2/10 | 250/3927 |  10.64% | 2,138,624/20,102,200 | 2h02m | 3.232 | — | — | — | —
01:12:55 | 4.2 | 2/10 | 275/3927 |  10.70% | 2,151,424/20,102,200 | 2h02m | 3.261 | — | — | — | —
01:13:01 | 4.2 | 2/10 | 300/3927 |  10.76% | 2,164,224/20,102,200 | 2h02m | 3.235 | — | — | — | —
01:13:06 | 4.2 | 2/10 | 325/3927 |  10.83% | 2,177,024/20,102,200 | 2h02m | 3.275 | — | — | — | —
01:13:11 | 4.2 | 2/10 | 350/3927 |  10.89% | 2,189,824/20,102,200 | 2h01m | 3.269 | — | — | — | —
01:13:17 | 4.2 | 2/10 | 375/3927 |  10.95% | 2,202,624/20,102,200 | 2h01m | 3.248 | — | — | — | —
01:13:22 | 4.2 | 2/10 | 400/3927 |  11.02% | 2,215,424/20,102,200 | 2h01m | 3.263 | — | — | — | —
01:13:27 | 4.2 | 2/10 | 425/3927 |  11.08% | 2,228,224/20,102,200 | 2h01m | 3.369 | — | — | — | —
01:13:33 | 4.2 | 2/10 | 450/3927 |  11.15% | 2,241,024/20,102,200 | 2h01m | 3.254 | — | — | — | —
01:13:38 | 4.2 | 2/10 | 475/3927 |  11.21% | 2,253,824/20,102,200 | 2h01m | 3.271 | — | — | — | —
01:13:44 | 4.2 | 2/10 | 500/3927 |  11.27% | 2,266,624/20,102,200 | 2h01m | 3.307 | — | — | — | —
01:13:49 | 4.2 | 2/10 | 525/3927 |  11.34% | 2,279,424/20,102,200 | 2h01m | 3.357 | — | — | — | —
01:13:54 | 4.2 | 2/10 | 550/3927 |  11.40% | 2,292,224/20,102,200 | 2h01m | 3.324 | — | — | — | —
01:13:59 | 4.2 | 2/10 | 575/3927 |  11.46% | 2,305,024/20,102,200 | 2h01m | 3.320 | — | — | — | —
01:14:04 | 4.2 | 2/10 | 600/3927 |  11.53% | 2,317,824/20,102,200 | 2h01m | 3.214 | — | — | — | —
01:14:10 | 4.2 | 2/10 | 625/3927 |  11.59% | 2,330,624/20,102,200 | 2h01m | 3.316 | — | — | — | —
01:14:16 | 4.2 | 2/10 | 650/3927 |  11.66% | 2,343,424/20,102,200 | 2h01m | 3.325 | — | — | — | —
01:14:21 | 4.2 | 2/10 | 675/3927 |  11.72% | 2,356,224/20,102,200 | 2h01m | 3.301 | — | — | — | —
01:14:26 | 4.2 | 2/10 | 700/3927 |  11.78% | 2,369,024/20,102,200 | 2h00m | 3.342 | — | — | — | —
01:14:32 | 4.2 | 2/10 | 725/3927 |  11.85% | 2,381,824/20,102,200 | 2h00m | 3.156 | — | — | — | —
01:14:37 | 4.2 | 2/10 | 750/3927 |  11.91% | 2,394,624/20,102,200 | 2h00m | 3.379 | — | — | — | —
01:14:43 | 4.2 | 2/10 | 775/3927 |  11.97% | 2,407,424/20,102,200 | 2h00m | 3.342 | — | — | — | —
01:14:49 | 4.2 | 2/10 | 800/3927 |  12.04% | 2,420,224/20,102,200 | 2h00m | 3.310 | — | — | — | —
